rank,sector,group,ticker_a,ticker_b,latest_corr,min_corr,std_corr,passed_stage_a,pvalue_ab,pvalue_ba,cointegrated,hedge_ratio,n_crossings,passed_stage_b
39,Consumer Cyclical,Residential Construction,DHI,GRBK,0.7877929149613828,0.7707229104106997,0.0077620334649827,True,0.4625052541012042,0.7096850201074734,False,1.5622432574123808,25.0,False
40,Consumer Cyclical,Residential Construction,DHI,MTH,0.746821954907252,0.6827498025097013,0.0251162715582174,True,0.2155222524641773,0.3430850611594532,False,1.1730918603404246,24.0,False
41,Consumer Cyclical,Residential Construction,DHI,KBH,0.7406652661745294,0.7202271941135173,0.0119266118146362,True,0.6693999139920499,0.8196876152397308,False,1.3227757289137756,24.0,False
42,Consumer Cyclical,Packaging & Containers,SW,GEF,0.7087441968531927,0.6856781353041486,0.0140917563405758,True,0.059715866804778,0.308804056119715,False,0.6294212047620176,24.0,False
43,Financial Services,Banks - Regional (1),PNC,KEY,0.7253269799115585,0.6800768972450365,0.0214578303843901,True,0.8284767955119723,0.5238083562349899,False,11.81535881564435,24.0,False
44,Technology,Software - Infrastructure (2),TWLO,BAND,0.6742647623753361,0.6613464223343646,0.0166757873657885,True,0.0650979218039562,0.0830972001726785,False,1.6892222029071575,23.0,False
45,Technology,Semiconductor Equipment & Materials (1),ONTO,UCTT,0.7433367249256522,0.6564715975781023,0.0337004627223359,True,0.4108610402897348,0.4082233474948383,False,1.9605700065455325,23.0,False
46,Technology,Information Technology Services (1),ACN,GLOB,0.7144417869295058,0.6942575068554961,0.0106631828019232,True,0.0596181766800428,0.0554101776418838,False,3.580350589821192,23.0,False
47,Technology,Software - Application (2),HUBS,RNG,0.6659755625113536,0.6659755625113536,0.0092498909324535,True,0.0557470280440098,0.2176752107701103,False,-2.037201056854538,23.0,False
48,Technology,Electronic Components (1),TTMI,BHE,0.6984801012681876,0.6955283948900154,0.0077721560090083,True,0.2916629180708994,0.2977147721328647,False,2.418791455485489,23.0,False
49,Financial Services,Insurance - Property & Casualty (1),CB,WRB,0.660601311445843,0.6541350665957565,0.02731826346155,True,0.0652995707802893,0.6861027597149727,False,3.50261122190133,23.0,False
50,Technology,Semiconductor Equipment & Materials (1),AMAT,UCTT,0.8182324320114059,0.7772528823127566,0.0180641039194265,True,0.7927179765660686,0.6361892303191006,False,4.30635912140295,22.0,False
51,Technology,Semiconductor Equipment & Materials (1),NVMI,ACLS,0.726110978527152,0.6973472047964059,0.0103114118690347,True,0.2842493713937875,0.6851991594953171,False,0.948393100125964,22.0,False
52,Consumer Cyclical,Residential Construction,TOL,MTH,0.6899888452338893,0.6559448632873889,0.0124786032719023,True,0.0439949794831838,0.193587281834275,False,1.364088532074706,22.0,False
53,Financial Services,Insurance - Property & Casualty (2),AFG,THG,0.766409097715885,0.7411195070636409,0.009850889025437,True,0.0639794095555633,0.1418001409523334,False,0.2833680741070612,22.0,False
54,Financial Services,Banks - Regional (1),TFC,BOKF,0.6696648808530915,0.6696648808530915,0.0184331545839968,True,0.6765794752383498,0.8281148711402576,False,0.4186228084306322,22.0,False
55,Financial Services,Banks - Regional (1),CFG,KEY,0.790769136502506,0.6526770471201359,0.0527699447405095,True,0.6773472919735992,0.4978919568071465,False,3.420282309284505,22.0,False
56,Financial Services,Banks - Regional (1),BOKF,SYBT,0.7680106770012144,0.7494005111176724,0.0125548943371293,True,0.1814792955379923,0.4651194677340561,False,0.8756273896338785,22.0,False
57,Technology,Semiconductors (3),TXN,MPWR,0.6782407725916157,0.6782407725916157,0.0049457521189144,True,0.8020210541867641,0.7548017347208968,False,0.1919282975929258,21.0,False
58,Technology,Software - Infrastructure (2),BAND,FIVN,0.6565428902189592,0.6565428902189592,0.0132555580336762,True,0.1381133905487314,0.0968085312884168,False,5.963089635032475,21.0,False
